bin,mean_pred_prob,actual_frequency,n
"(-0.001, 0.1]",0.07381944975422892,0.16666666666666666,36
"(0.1, 0.2]",0.1554533381369059,0.16666666666666666,96
"(0.2, 0.3]",0.24658078064580344,0.22794117647058823,272
"(0.3, 0.4]",0.3485413808720091,0.328,125
"(0.4, 0.5]",0.44614257732348955,0.4528301886792453,106
"(0.5, 0.6]",0.5475249087622808,0.6296296296296297,81
"(0.6, 0.7]",0.6447491633852641,0.7096774193548387,31
"(0.7, 0.8]",0.7326720214000683,0.46153846153846156,13
"(0.8, 0.9]",0.8285929067332998,0.5,8
"(0.9, 1.0]",,,0
